date,rides
2018-08-11,1128
2018-08-12,1000
2018-08-13,1086
2018-08-14,1055
2018-08-15,1012
2018-08-16,1171
2018-08-17,1140
2018-08-18,1222
2018-08-19,1161
2018-08-20,1052
2018-08-21,966
2018-08-22,987
2018-08-23,962
2018-08-24,1074
2018-08-25,1060
2018-08-26,1006
2018-08-27,955
2018-08-28,984
2018-08-29,946
2018-08-30,1043
2018-08-31,1087
2018-09-01,1202
2018-09-02,1259
2018-09-03,1144
2018-09-04,855
2018-09-05,910
2018-09-06,992
2018-09-07,1031
2018-09-08,962
2018-09-09,874
2018-09-10,981
2018-09-11,1063
2018-09-12,1059
2018-09-13,1038
2018-09-14,995
2018-09-15,1016
2018-09-16,978
2018-09-17,920
2018-09-18,1001
2018-09-19,1015
2018-09-20,1021
2018-09-21,1127
2018-09-22,1033
2018-09-23,857
2018-09-24,974
2018-09-25,1029
2018-09-26,858
2018-09-27,895
2018-09-28,1040
2018-09-29,982
NA,813
